State,Month,Unemployment,Unemployment_Change,COVID-19_Deaths,State_Population,Covid_Deaths_per_100k
New Mexico,5,9.1,-2.2,262,"2,117,522",12.37295291
New York,5,14.5,0,2846,"20,201,249",14.08823781
North Carolina,5,12.8,0.6,540,"10,439,388",5.172717021
North Dakota,5,9.1,0.6,53,"779,094",6.802773478
Ohio,5,13.9,-2.9,1140,"11,799,448",9.661468909
Oklahoma,5,12.6,-1.1,115,"3,959,353",2.904514955
Oregon,5,14.3,0.1,59,"4,237,256",1.39241056
Pennsylvania,5,13.4,-1.7,2709,"13,002,700",20.83413445
Rhode Island,5,16.4,-0.6,467,"1,097,379",42.55594466
South Carolina,5,12.4,0.3,290,"5,118,425",5.665805399
South Dakota,5,9.4,-0.8,44,"886,667",4.962404149
Tennessee,5,11,-3.7,202,"6,910,840",2.922944244
Texas,5,13,0.2,963,"29,145,505",3.30411156
Utah,5,8.6,-1.1,70,"3,271,616",2.139615407
Vermont,5,12.8,-2.8,0,"643,077",0
Virginia,5,9,-1.6,850,"8,631,393",9.847773123
Washington,5,15.1,-0.3,273,"7,705,281",3.543024583
West Virginia,5,12.9,-2.3,38,"1,793,716",2.118507055
Wisconsin,5,12.1,-2,287,"5,893,718",4.869591657
Wyoming,5,8.8,-0.4,5,"576,851",0.866774956
Alabama,6,7.5,-2.1,397,"5,024,279",7.901631259
Alaska,6,12.4,-0.3,0,"733,391",0
Arizona,6,10,1,898,"7,151,502",12.55680275
Arkansas,6,8,-1.6,169,"3,011,524",5.611776629
California,6,14.9,-1.5,2054,"39,538,223",5.194972976
Colorado,6,10.5,0.3,184,"5,773,714",3.186856848
Connecticut,6,9.8,0.2,282,"3,605,944",7.820420949
Delaware,6,12.5,-3.4,61,"989,948",6.161939819
Florida,6,10.4,-3.3,1081,"21,538,187",5.018992546
Georgia,6,7.6,-1.8,512,"10,711,908",4.779727384
Hawaii,6,13.9,-9.6,0,"1,455,271",0
Idaho,6,5.6,-3.4,11,"1,839,106",0.598116694
Illinois,6,14.6,-0.7,1157,"12,812,508",9.030238264
Indiana,6,11.2,-1.1,459,"6,785,528",6.764396227
Iowa,6,8,-2.2,158,"3,190,369",4.952405192
Kansas,6,7.5,-2.5,66,"2,937,880",2.246517897
Kentucky,6,4.3,-6.6,155,"4,505,836",3.439983168
Louisiana,6,9.7,-4.5,360,"4,657,757",7.729042112
Maine,6,6.6,-2.8,14,"1,362,359",1.027629281
Maryland,6,8,-2,673,"6,177,224",10.89486151
Massachusetts,6,17.4,0.8,634,"7,029,917",9.018598655
Michigan,6,14.8,-6.5,295,"10,077,331",2.927362414
Minnesota,6,8.6,-1.3,370,"5,706,494",6.483841041
Mississippi,6,8.7,-1.8,319,"2,961,279",10.77237234
Missouri,6,7.9,-2.2,195,"6,154,913",3.168200753
Montana,6,7.1,-1.9,0,"1,084,225",0
Nebraska,6,6.7,1.4,92,"1,961,504",4.69027848
Nevada,6,15,-10.3,91,"3,104,614",2.931121228
New Hampshire,6,11.8,-3.6,100,"1,377,529",7.259375302
New Jersey,6,16.6,1.2,834,"9,288,994",8.978367302
New Mexico,6,8.3,-0.8,126,"2,117,522",5.950351401
New York,6,15.7,1.2,488,"20,201,249",2.415692218
North Carolina,6,7.6,-5.2,470,"10,439,388",4.50217963
North Dakota,6,6.1,-3,20,"779,094",2.567084331
Ohio,6,10.9,-3,551,"11,799,448",4.669709973
Oklahoma,6,6.6,-6,72,"3,959,353",1.818478928
Oregon,6,11.2,-3.1,60,"4,237,256",1.416010739
Pennsylvania,6,13,-0.4,827,"13,002,700",6.360217493
Rhode Island,6,12.4,-4,148,"1,097,379",13.48668054
South Carolina,6,8.7,-3.7,292,"5,118,425",5.704879919
South Dakota,6,7.2,-2.2,40,"886,667",4.5112765
Tennessee,6,9.7,-1.3,213,"6,910,840",3.082114475
Texas,6,8.6,-4.4,1430,"29,145,505",4.906416959
Utah,6,5.1,-3.5,68,"3,271,616",2.078483538
Vermont,6,9.4,-3.4,0,"643,077",0
Virginia,6,8.4,-0.6,393,"8,631,393",4.553146867
Washington,6,9.8,-5.3,157,"7,705,281",2.037563588
West Virginia,6,10.4,-2.5,13,"1,793,716",0.724752413
Wisconsin,6,8.5,-3.6,162,"5,893,718",2.748689367
Wyoming,6,7.6,-1.2,5,"576,851",0.866774956
Alabama,7,7.9,0.4,870,"5,024,279",17.31591737
Alaska,7,11.6,-0.8,12,"733,391",1.636234969
Arizona,7,10.6,0.6,2096,"7,151,502",29.30852847
Arkansas,7,7.1,-0.9,273,"3,011,524",9.065177631
California,7,13.3,-1.6,3873,"39,538,223",9.795584389
Colorado,7,7.4,-3.1,152,"5,773,714",2.632620875
Connecticut,7,10.2,0.4,77,"3,605,944",2.135363167
Delaware,7,10.4,-2.1,25,"989,948",2.525385172
Florida,7,11.3,0.9,4973,"21,538,187",23.08922288
Georgia,7,7.6,0,1322,"10,711,908",12.34140547
Hawaii,7,13.1,-0.8,0,"1,455,271",0
Idaho,7,5,-0.6,129,"1,839,106",7.014277589
Illinois,7,11.3,-3.3,442,"12,812,508",3.449753944
Indiana,7,7.8,-3.4,330,"6,785,528",4.863291405
Iowa,7,6.6,-1.4,175,"3,190,369",5.485258915
Kansas,7,7.2,-0.3,115,"2,937,880",3.914387245
Kentucky,7,5.7,1.4,182,"4,505,836",4.039206043
Louisiana,7,9.4,-0.3,763,"4,657,757",16.38127536
Maine,7,9.9,3.3,24,"1,362,359",1.761650196
Maryland,7,7.6,-0.4,319,"6,177,224",5.164131979
Massachusetts,7,16.1,-1.3,195,"7,029,917",2.773859208
Michigan,7,8.7,-6.1,187,"10,077,331",1.855650072
Minnesota,7,7.7,-0.9,154,"5,706,494",2.698679785
Mississippi,7,10.8,2.1,668,"2,961,279",22.55782046
Missouri,7,6.9,-1,267,"6,154,913",4.337997954
Montana,7,6.4,-0.7,44,"1,084,225",4.058198252
Nebraska,7,4.8,-1.9,48,"1,961,504",2.447101816
Nevada,7,14,-1,366,"3,104,614",11.78890516
New Hampshire,7,8.1,-3.7,33,"1,377,529",2.39559385
New Jersey,7,13.9,-2.7,327,"9,288,994",3.520295093
New Mexico,7,12.7,4.4,163,"2,117,522",7.697676813
New York,7,15.9,0.2,194,"20,201,249",0.96033666
North Carolina,7,8.5,0.9,697,"10,439,388",6.6766366
North Dakota,7,6.6,0.5,30,"779,094",3.850626497
Ohio,7,8.9,-2,674,"11,799,448",5.712131618
Oklahoma,7,7.1,0.5,229,"3,959,353",5.783773258
Oregon,7,10.4,-0.8,102,"4,237,256",2.407218256
Pennsylvania,7,13.7,0.7,498,"13,002,700",3.829973775
Rhode Island,7,11.2,-1.2,40,"1,097,379",3.645048794
South Carolina,7,8.6,-0.1,1030,"5,118,425",20.1233778
South Dakota,7,6.3,-0.9,50,"886,667",5.639095624
Tennessee,7,9.5,-0.2,581,"6,910,840",8.407082207
Texas,7,8,-0.6,6955,"29,145,505",23.86302794
Utah,7,4.5,-0.6,145,"3,271,616",4.432060486
Vermont,7,8.3,-1.1,0,"643,077",0
Virginia,7,8,-0.4,369,"8,631,393",4.275092097
Washington,7,10.3,0.5,291,"7,705,281",3.776630599
West Virginia,7,9.9,-0.5,34,"1,793,716",1.895506312
Wisconsin,7,7,-1.5,164,"5,893,718",2.782623804
Wyoming,7,7.1,-0.5,5,"576,851",0.866774956
Alabama,8,5.6,-2.3,958,"5,024,279",19.06741246
Alaska,8,7.4,-4.2,19,"733,391",2.590705367
Arizona,8,5.9,-4.7,941,"7,151,502",13.15807504
Arkansas,8,7.4,0.3,409,"3,011,524",13.58116356
California,8,11.4,-1.9,3736,"39,538,223",9.449084244
Colorado,8,6.7,-0.7,121,"5,773,714",2.095704775
Connecticut,8,8.1,-2.1,31,"3,605,944",0.859691665
Delaware,8,8.9,-1.5,18,"989,948",1.818277324
Florida,8,7.4,-3.9,4772,"21,538,187",22.1559967
Georgia,8,5.6,-2,1791,"10,711,908",16.71971044
Hawaii,8,12.5,-0.6,74,"1,455,271",5.084963557
Idaho,8,4.2,-0.8,179,"1,839,106",9.732989833
Illinois,8,11,-0.3,486,"12,812,508",3.793168363
Indiana,8,6.4,-1.4,384,"6,785,528",5.659102726
Iowa,8,6,-0.6,273,"3,190,369",8.557003908
Kansas,8,6.9,-0.3,184,"2,937,880",6.263019592
Kentucky,8,7.6,1.9,303,"4,505,836",6.724612258
Louisiana,8,7.6,-1.8,882,"4,657,757",18.93615317
Maine,8,6.9,-3,10,"1,362,359",0.734020915
Maryland,8,6,-1.6,274,"6,177,224",4.435649411
Massachusetts,8,11.3,-4.8,117,"7,029,917",1.664315525
Michigan,8,8.7,0,242,"10,077,331",2.401429505
Minnesota,8,7.4,-0.3,213,"5,706,494",3.732589573
Mississippi,8,7.9,-2.9,795,"2,961,279",26.84650788
Missouri,8,7,0.1,477,"6,154,913",7.749906457
Montana,8,5.6,-0.8,49,"1,084,225",4.519357145
